Wavelength	Intensity
328	672.391304348	55.4502369668
329	673.206521739	58.2524271845
330	674.02173913	56.25
331	674.836956522	55.3398058252
332	675.652173913	55.3398058252
333	676.467391304	54.3689320388
334	677.282608696	55.8823529412
335	678.097826087	54.9504950495
336	678.913043478	55.223880597
337	679.72826087	55.7788944724
338	680.543478261	54.0404040404
339	681.358695652	53.8461538462
340	682.173913043	54.2105263158
341	682.989130435	53.4031413613
342	683.804347826	55.8510638298
343	684.619565217	54.2553191489
344	685.434782609	54.8387096774
345	686.25	55.2631578947
346	687.065217391	52.6595744681
347	687.880434783	52.9411764706
348	688.695652174	54.6961325967
349	689.510869565	56.9832402235
350	690.326086957	55.8659217877
351	691.141304348	55.0
352	691.956521739	54.5454545455
353	692.77173913	54.8571428571
354	693.586956522	54.802259887
355	694.402173913	57.8034682081
356	695.217391304	56.4705882353
357	696.032608696	56.4705882353
358	696.847826087	53.2544378698
359	697.663043478	52.9411764706
360	698.47826087	54.8780487805
361	699.293478261	56.25
362	700.108695652	53.6585365854
363	700.923913043	54.9382716049
364	701.739130435	57.1428571429
365	702.554347826	57.0512820513
366	703.369565217	55.9748427673
367	704.184782609	54.6012269939
368	705.0	49.3670886076
369	705.815217391	51.5923566879
370	706.630434783	51.6339869281
371	707.445652174	52.3489932886
372	708.260869565	55.1724137931
373	709.076086957	55.5555555556
374	709.891304348	55.9440559441
375	710.706521739	56.1151079137
376	711.52173913	58.6956521739
377	712.336956522	54.347826087
378	713.152173913	53.1914893617
379	713.967391304	52.8985507246
380	714.782608696	52.8985507246
381	715.597826087	53.9007092199
382	716.413043478	61.7886178862
383	717.22826087	62.4
384	718.043478261	60.0
385	718.858695652	57.3770491803
386	719.673913043	54.4
387	720.489130435	56.3025210084
388	721.304347826	54.5454545455
389	722.119565217	55.4621848739
390	722.934782609	55.9322033898
391	723.75	60.0
392	724.565217391	53.3898305085
393	725.380434783	57.8947368421
394	726.195652174	53.6363636364
395	727.010869565	58.3333333333
396	727.826086957	55.9633027523
397	728.641304348	57.0093457944
398	729.456521739	62.1359223301
399	730.27173913	64.6464646465
400	731.086956522	55.3398058252
401	731.902173913	55.3398058252
402	732.717391304	55.4455445545
403	733.532608696	54.6391752577
404	734.347826087	61.2244897959
405	735.163043478	58.9473684211
406	735.97826087	55.1020408163
407	736.793478261	61.2903225806
408	737.608695652	66.2790697674
409	738.423913043	58.6956521739
410	739.239130435	58.6956521739
411	740.054347826	63.2183908046
412	740.869565217	57.7777777778
413	741.684782609	62.7906976744
414	742.5	56.5217391304
415	743.315217391	62.6506024096
416	744.130434783	61.9047619048
417	744.945652174	58.1395348837
418	745.760869565	65.8227848101
419	746.576086957	62.8205128205
420	747.391304348	60.4938271605
421	748.206521739	69.3333333333
422	749.02173913	70.6666666667
423	749.836956522	74.6666666667
424	750.652173913	64.0
425	751.467391304	64.0
426	752.282608696	65.7534246575
427	753.097826087	68.5714285714
428	753.913043478	68.5714285714
429	754.72826087	71.8309859155
430	755.543478261	72.8571428571
431	756.358695652	69.8630136986
432	757.173913043	68.5714285714
433	757.989130435	71.6417910448
434	758.804347826	62.3376623377
435	759.619565217	73.8461538462
436	760.434782609	63.1578947368
437	761.25	80.9523809524
438	762.065217391	80.0
439	762.880434783	64.8648648649
440	763.695652174	73.8461538462
441	764.510869565	73.8461538462
442	765.326086957	80.0
443	766.141304348	76.1904761905
444	766.956521739	71.2121212121
445	767.77173913	78.3333333333
446	768.586956522	76.1904761905
447	769.402173913	76.1904761905
448	770.217391304	78.6885245902
449	771.032608696	75.0
450	771.847826087	87.2727272727
451	772.663043478	75.0
452	773.47826087	80.0
453	774.293478261	80.0
454	775.108695652	85.7142857143
455	775.923913043	85.7142857143
456	776.739130435	85.7142857143
457	777.554347826	81.3559322034
458	778.369565217	82.7586206897
459	779.184782609	87.2727272727
